keyword;search_volume;keyword_difficulty;cpc_eur;competition;competition_level;low_top_of_page_bid;high_top_of_page_bid;search_intent;cluster;words_count;trend_quarterly_pct;trend_yearly_pct;traffic_value_eur_month;opportunity_score;variant_group;is_primary
heilpraktiker;33100;42;2.31;0.09;LOW;1.09;3.71;informational;Kernbegriffe;1;83;83;76461.0;18.76;heilpraktiker;1
ausbildung für heilpraktiker;14800;39;4.38;0.79;HIGH;1.2;4.29;informational;Ausbildung & Prüfung;3;-18;-18;64824.0;20.74;ausbildung für heilpraktiker;1
ausbildung heilpraktiker;14800;32;4.38;0.79;HIGH;1.2;4.29;informational;Ausbildung & Prüfung;2;-18;-18;64824.0;24.04;ausbildung heilpraktiker;1
ausbildung zum heilpraktiker;14800;39;4.38;0.79;HIGH;1.2;4.29;informational;Ausbildung & Prüfung;3;-18;-18;64824.0;20.74;ausbildung heilpraktiker;0
heilpraktiker-ausbildung;14800;39;4.38;0.79;HIGH;1.2;4.29;informational;Ausbildung & Prüfung;1;-18;-18;64824.0;20.74;ausbildung heilpraktiker;0
heilpraktiker ausbildung;14800;39;4.38;0.79;HIGH;1.2;4.29;informational;Ausbildung & Prüfung;2;-18;-18;64824.0;20.74;ausbildung heilpraktiker;0
ausbildung als heilpraktiker;14800;39;4.38;0.79;HIGH;1.2;4.29;informational;Ausbildung & Prüfung;3;-18;-18;64824.0;20.74;ausbildung heilpraktiker;0
ausbildung heilpraktiker für psychotherapie;5400;18;4.93;0.89;HIGH;1.77;4.02;informational;Ausbildung & Prüfung;4;;-19;26622.0;22.32;ausbildung heilpraktiker für psychotherapie;1
psychotherapie ausbildung für heilpraktiker;5400;18;4.93;0.89;HIGH;1.77;4.02;informational;Ausbildung & Prüfung;4;;-19;26622.0;22.32;ausbildung heilpraktiker für psychotherapie;0
ausbildung zum heilpraktiker für psychotherapie;5400;18;4.93;0.89;HIGH;1.77;4.02;informational;Ausbildung & Prüfung;5;;-19;26622.0;22.32;ausbildung heilpraktiker für psychotherapie;0
heilpraktiker für psychotherapie ausbildung;5400;18;4.93;0.89;HIGH;1.77;4.02;informational;Ausbildung & Prüfung;4;;-19;26622.0;22.32;ausbildung heilpraktiker für psychotherapie;0
ausbildung heilpraktiker psychotherapie;5400;2;4.93;0.89;HIGH;1.77;4.02;informational;Ausbildung & Prüfung;3;;-19;26622.0;47.83;ausbildung heilpraktiker psychotherapie;1
heilpraktiker ausbildung psychotherapie;5400;18;4.93;0.89;HIGH;1.77;4.02;informational;Ausbildung & Prüfung;3;;-19;26622.0;22.32;ausbildung heilpraktiker psychotherapie;0
psychotherapie ausbildung heilpraktiker;5400;18;4.93;0.89;HIGH;1.77;4.02;informational;Ausbildung & Prüfung;3;;-19;26622.0;22.32;ausbildung heilpraktiker psychotherapie;0
ausbildung zum heilpraktiker psychotherapie;5400;6;4.93;0.89;HIGH;1.77;4.02;informational;Ausbildung & Prüfung;4;;-19;26622.0;37.2;ausbildung heilpraktiker psychotherapie;0
heilpraktiker psychotherapie ausbildung;5400;18;4.93;0.89;HIGH;1.77;4.02;informational;Ausbildung & Prüfung;3;;-19;26622.0;22.32;ausbildung heilpraktiker psychotherapie;0
ausbildung psychotherapeut heilpraktiker;5400;13;4.93;0.89;HIGH;1.77;4.02;informational;Ausbildung & Prüfung;3;;-19;26622.0;26.79;ausbildung psychotherapeut heilpraktiker;1
heilpraktiker psychotherapeut ausbildung;5400;13;4.93;0.89;HIGH;1.77;4.02;informational;Ausbildung & Prüfung;3;;-19;26622.0;26.79;ausbildung psychotherapeut heilpraktiker;0
psychotherapeut heilpraktiker ausbildung;5400;13;4.93;0.89;HIGH;1.77;4.02;informational;Ausbildung & Prüfung;3;;-19;26622.0;26.79;ausbildung psychotherapeut heilpraktiker;0
heilpraktiker in meiner nähe;5400;7;0.62;0.19;LOW;0.53;1.5;navigational;Lokale Suche;4;50;125;3348.0;9.63;heilpraktiker in meiner nähe;1
heilpraktiker zusatzversicherung;3600;18;4.16;0.79;HIGH;1.47;4.42;commercial;Versicherung & Kostenerstattung;2;-17;-33;14976.0;15.54;heilpraktiker zusatzversicherung;1
zusatzversicherung heilpraktiker;3600;8;4.16;0.79;HIGH;1.47;4.42;commercial;Versicherung & Kostenerstattung;2;-17;-33;14976.0;23.31;heilpraktiker zusatzversicherung;0
zusatzversicherungen heilpraktiker;3600;24;4.16;0.79;HIGH;1.47;4.42;commercial;Versicherung & Kostenerstattung;2;-17;-33;14976.0;12.95;heilpraktiker zusatzversicherung;0
heilpraktiker zusatzversicherungen;3600;16;4.16;0.79;HIGH;1.47;4.42;commercial;Versicherung & Kostenerstattung;2;-17;-33;14976.0;16.65;heilpraktiker zusatzversicherung;0
heilpraktiker-zusatzversicherung;3600;18;4.16;0.79;HIGH;1.47;4.42;commercial;Versicherung & Kostenerstattung;1;-17;-33;14976.0;15.54;heilpraktiker zusatzversicherung;0
naturheilkunde;3600;41;1.6;0.28;LOW;0.89;2.89;informational;Kernbegriffe;1;-34;-34;5760.0;4.43;naturheilkunde;1
naturheilkunde tier;3600;;2.68;0.08;LOW;0.73;3.49;informational;Tierheilkunde;2;;;9648.0;10.39;naturheilkunde tier;1
tier naturheilkunde;3600;;2.68;0.08;LOW;0.73;3.49;informational;Tierheilkunde;2;;;9648.0;10.39;naturheilkunde tier;0
naturheilkunde bei tieren;3600;;2.68;0.08;LOW;0.73;3.49;informational;Tierheilkunde;3;;;9648.0;10.39;naturheilkunde tier;0
naturheilkunde tiere;3600;;2.68;0.08;LOW;0.73;3.49;informational;Tierheilkunde;2;;;9648.0;10.39;naturheilkunde tiere;1
zusatzversicherung für heilpraktiker;3600;16;4.16;0.79;HIGH;1.47;4.42;commercial;Versicherung & Kostenerstattung;3;-17;-33;14976.0;16.65;zusatzversicherung für heilpraktiker;1
zusatzversicherungen für heilpraktiker;3600;12;4.16;0.79;HIGH;1.47;4.42;commercial;Versicherung & Kostenerstattung;3;-17;-33;14976.0;19.43;zusatzversicherung für heilpraktiker;0
tier heilpraktiker;2900;35;5.33;0.43;MEDIUM;1.71;5.66;informational;Tierheilkunde;2;-17;-17;15457.0;10.8;tier heilpraktiker;1
ausbildung heilpraktiker kosten;2400;;3.35;0.73;HIGH;0.77;2.91;informational;Ausbildung & Prüfung;3;-16;-33;8040.0;9.83;ausbildung heilpraktiker kosten;1
kosten ausbildung heilpraktiker;2400;;3.35;0.73;HIGH;0.77;2.91;informational;Ausbildung & Prüfung;3;-16;-33;8040.0;9.83;ausbildung heilpraktiker kosten;0
heilpraktiker-ausbildung kosten;2400;;3.35;0.73;HIGH;0.77;2.91;informational;Ausbildung & Prüfung;2;-16;-33;8040.0;9.83;ausbildung heilpraktiker kosten;0
heilpraktiker kosten ausbildung;2400;;3.35;0.73;HIGH;0.77;2.91;informational;Ausbildung & Prüfung;3;-16;-33;8040.0;9.83;ausbildung heilpraktiker kosten;0
ausbildung-heilpraktiker kosten;2400;;3.35;0.73;HIGH;0.77;2.91;informational;Ausbildung & Prüfung;2;-16;-33;8040.0;9.83;ausbildung heilpraktiker kosten;0
heilpraktiker ausbildung kosten;2400;;3.35;0.73;HIGH;0.77;2.91;informational;Ausbildung & Prüfung;;-16;-33;8040.0;9.83;ausbildung heilpraktiker kosten;0
ausbildung zum heilpraktiker kosten;2400;;3.35;0.73;HIGH;0.77;2.91;informational;Ausbildung & Prüfung;4;-16;-33;8040.0;9.83;ausbildung heilpraktiker kosten;0
heilpraktiker ausbildung kostenlos;2400;;3.35;0.73;HIGH;0.77;2.91;informational;Ausbildung & Prüfung;;-16;-33;8040.0;9.83;heilpraktiker ausbildung kostenlos;1
heilpraktiker sektoral;2400;;1.95;0.08;LOW;0.46;2.38;navigational;Sektoraler Heilpraktiker;2;-21;;4680.0;6.66;heilpraktiker sektoral;1
sektoralen heilpraktiker;2400;;1.95;0.08;LOW;0.46;2.38;navigational;Sektoraler Heilpraktiker;2;-21;;4680.0;6.66;heilpraktiker sektoral;0
sektoraler heilpraktiker;2400;;1.95;0.08;LOW;0.46;2.38;informational;Sektoraler Heilpraktiker;2;-21;;4680.0;6.66;heilpraktiker sektoral;0
sektorale heilpraktiker;2400;;1.95;0.08;LOW;0.46;2.38;informational;Sektoraler Heilpraktiker;2;-21;;4680.0;6.66;heilpraktiker sektoral;0
sektoral heilpraktiker;2400;;1.95;0.08;LOW;0.46;2.38;navigational;Sektoraler Heilpraktiker;2;-21;;4680.0;6.66;heilpraktiker sektoral;0
komjun naturheilkunde frauengesundheit yoga dein ort der ganzheitlichkeit;1900;4;0.25;0.08;LOW;;;commercial;Marken- & Praxisnamen;8;-32;-19;475.0;4.97;komjun naturheilkunde frauengesundheit yoga dein ort der ganzheitlichkeit;1
berlin heilpraktiker;1600;31;1.31;0.32;LOW;0.71;1.77;informational;Lokale Suche;2;-23;-47;2096.0;3.11;berlin heilpraktiker;1
heilpraktiker berlin;1600;31;1.31;0.32;LOW;0.71;1.77;informational;Lokale Suche;2;-23;-47;2096.0;3.11;berlin heilpraktiker;0
heilpraktiker münch;1600;43;1.75;0.46;MEDIUM;0.86;1.9;informational;Marken- & Praxisnamen;2;-38;-38;2800.0;2.89;heilpraktiker münch;1
heilpraktiker münchen;1600;43;1.75;0.46;MEDIUM;0.86;1.9;informational;Lokale Suche;2;-38;-38;2800.0;2.89;heilpraktiker münch;0
was machen heilpraktiker;1600;3;1.71;0.07;LOW;0.24;1.66;informational;Marken- & Praxisnamen;3;-19;-19;2736.0;10.45;was machen heilpraktiker;1
was macht heilpraktiker;1600;6;1.71;0.07;LOW;0.24;1.66;informational;Informational / Erklärung;3;-19;-19;2736.0;8.71;was macht heilpraktiker;1
